Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
Dark Falz [Loser]	Vol2-2	5-001.png			54			Player / Dark Falz	Going First / Second. [Main] : Remove 5 cards from your opponent’s Trash -> Draw 2 cards. This ability can only be used once per game. / Remove up to 5 cards from your opponent’s Trash -> Draw 2 cards. This ability can only be used once per game. The cost of any other active card you play increases by 1 PP. Rule: If this card is a player, you can add "Luther" to your deck in addition to the normal build conditions. However, the number of costs to play them increases by 1 PP.	Black	
PLAYER	Vol2-2	5-002.png			52		Braver	Player / Dewman	Going First / Second. If you play a Braver active, you can use this card as a PP [ON -> OFF] to pay the cost. / If you play a Braver active, you can use this card as a PP [ON -> OFF] to pay the cost. If you have 7 or more PP, you may turn this card ON from OFF once per turn.	Blue	
The Girl who Spun the Past Matoi	Vol2-2	5-003.png	3	3	4		Force	Character / Human	On Play: Choose 1 of your opponent’s character and pay X PP. If you do, deal X damage to it. 6 PP -> Equip this character with “Ivory Staff Clarissa” from your hand or Trash.	Yellow	/cr90
Council of Six [Four] Zeno	Vol2-2	5-004.png	7	5	7		Ranger	Character / Human / Council of Six	On Play: You may equip this character with “Guiding Blade Nanaki” from your hand or Trash. In addition, destroy all of your opponent’s Actives. While this card is in play, your “Echo” will not take any damage other than combat damage.	Blue	/cr90
Council of Six [Six] Huey	Vol2-2	5-005.png	8	9	7		Fighter	Character / Human / Council of Six	On Play: You may equip this character with “Broken Fist Wolfram” from your hand or Trash. If this character deals damage to an opponent’s character that exceeds its HP, deal the remaining damage to their Player. At the end of your turn: Destroy all of your opponent’s <Armor>	Red	/cr90
Council of Six [Five] Claris Claes	Vol2-2	5-006.png	8	6	6		Force	Character / Human / Council of Six	On Play: You may equip this character with “Ebony Staff Clarissa II” from your hand or Trash, and reduce the cost of the active card you play next turn by 6 PP. When you play a [PA] or [Technique] that is not [Grant]: Copy that ability and activate it.	Yellow	/cr90
Council of Six [One] Regius	Vol2-2	5-007.png	11	8	11		Hunter	Character / CAST / Council of Six	On Play: You may equip this character with “Yonohate - In” from your hand or Trash, search for up to 1 "Absolute Order" from your deck, and the cost of playing "Absolute Order" next turn becomes 0 PP. If this character is equipped with a <Weapon>, this character cannot be chosen by your opponent’s card effect.	Red	/cr90
Council of Six [Three] Casra	Vol2-2	5-008.png	9	7	9		Techer	Character / Newman / Council of Six	On Play: You may equip this character with “Phosphor Engine Florenberg” from your hand or Trash. If this character is equipped with a <Weapon>, this character cannot be chosen by your opponent’s card effect. 2 PP and Discard a card -> Choose 1 of your opponent’s Active or Item in play and disable it.	Yellow	/cr90
2nd Generation Claris Claes	Vol2-2	5-009.png	6	6	6		Force	Character / Human / Council of Six	Discard a card or choose 1 of your character’s equipped <Weapon> and destroy it -> Choose 1 of your opponent’s character and deal 3 damage to it. Main 2 PP -> You can only activate this ability if you have 0 cards in your hand. Equip this character with “Ivory Staff Clarissa” from your Trash. Rule: This character is also regarded as “Matoi” during the game.	Yellow	/cr90
Dark Falz Loser	Vol2-2	5-010.png	11	11	11			Character / Dark Falz	On Play: You may put 5 cards from your PP zone to your Trash, if you do, skip the opponent’s next turn. The cost of playing cards is reduced by 2 PP. At the beginning of your turn: Choose 3 of your removed cards and put them on the top of your deck in any order.	Black	/cr90
Extreme Annihilator, Theodore	Vol2-2	5-011.png	7	6	5			Character / Dewman	On Play: Choose 1 of your opponent’s characters and deal damage equal to this character’s ATK. If the damage it receives exceeds its HP, deal the remaining damage to the opponent’s Player.	Black	/cr90
Small Hero, More	Vol2-2	5-012.png	2	2	2		Hunter	Character / Weaponoid / Sword	When playing this character, you may instead give this to 1 of your <Hunter> as an Item. The granted character gets +2 / +2. On Play (acts when this card comes into play): Choose 1 of your characters and it gets +1 attack power during this turn.	White	/cr90
Xiao's Collaborator, Maria	Vol2-2	5-013.png	5	5	5		Hunter	Character / CAST / Council of Six	On Play / [Drop]: You may discard 2 cards from your hand. If you do, turn all of your opponent’s cards OFF.	Red	/cr90
