Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
PLAYER(1)	Vol1-1	1-001.png			54		Hunter	Player/Human	Going First / Second. Main - Pay 7 / 6 PP (You can activate this ability by paying 7 / 6 PP during your Main Phase). All enemies OFF character do not get turned ON during the next turn. This ability can only be activated once per game. Rule: When you are going second, play this side as your Player, put the top card of your deck face down into your PP zone, the card put facedown is regarded as the same color as your player and when it is turned OFF to activate effects, return the card to the bottom of your deck.	Red	
PLAYER(2)	Vol1-1	1-002.png			54		Hunter	Player/Newman	Going First / Second. ON -> OFF, Pay 5 PP - Choose a <Weapon> card from your hand and equip it to one of your characters. Rule: When you are going second, play this side as your Player, put the top card of your deck face down into your PP zone, the card put facedown is regarded as the same color as your player and when it is turned OFF to activate effects, return the card to the bottom of your deck.	Red	
PLAYER(3)	Vol1-1	1-003.png			50		Ranger	Player/CAST	Going First / Second. Main - Pay 6 / 5 PP (You can activate this ability by paying 6 / 5 PP during your Main Phase). Choose a character, item or active of your opponent and destroy it. This ability can only be activated once per game. Rule: When you are going second, play this side as your Player, put the top card of your deck face down into your PP zone, the card put facedown is regarded as the same color as your player and when it is turned OFF to activate effects, return the card to the bottom of your deck.	Blue	
PLAYER(4)	Vol1-1	1-004.png			50		Ranger	Player/Newman	Going First / Second. Main - Pay 2 PP (You can activate this ability by paying 2 PP during your Main Phase). Your opponent discards a card. This ability can only be used once per turn. Rule: When you are going second, play this side as your Player, put the top card of your deck face down into your PP zone, the card put facedown is regarded as the same color as your player and when it is turned OFF to activate effects, return the card to the bottom of your deck.	Blue	
PLAYER(5)	Vol1-1	1-005.png			48		Force	Player/Newman	Going First / Second. Pay 3 / 2 PP - Choose one enemy character and during this turn it can’t attack. This ability can only be used once per turn. Rule: When you are going second, play this side as your Player, put the top card of your deck face down into your PP zone, the card put facedown is regarded as the same color as your player and when it is turned OFF to activate effects, return the card to the bottom of your deck.	Yellow	
PLAYER(6)	Vol1-1	1-006.png			48		Force	Player/Newman	Going First / Second. Main - Pay 7 / 6 PP (You can activate this ability by paying 7 / 6 PP during your Main Phase). Deal 6 Damage to all characters. This ability can only be used once per game. Rule: When you are going second, play this side as your Player, put the top card of your deck face down into your PP zone, the card put facedown is regarded as the same color as your player and when it is turned OFF to activate effects, return the card to the bottom of your deck.	Yellow	
Mag	Vol1-1	1-007.png,1-007b.png						Mag	Main - Pay 1 PP, ON -> OFF. Draw a card. You can not use this if you do not have a character that has the same color as your Player card.	White	/ch
Skilled Warrior Zeno	Vol1-1	1-008.png	6	4	7		Hunter	Character/Human	[War Cry] ON -> OFF: When a character is attacked change attack target to this card instead. On Play: Choose up to 2 <Weapon> Or <Armor> cards from your Trash and add any number to your hand and then put the rest on the bottom of your deck in any order. At the end of the turn this character was played: Change it to ON.	Red	/cr90
Explorer Afin	Vol1-1	1-009.png	5	4	4		Ranger	Character/Newman	On Play: Deal 5 Damage to an enemy character with cost 3 PP or less. At the end of your turn: Look at the top 3 cards of your deck. Reveal one blue character card add it to your hand and put the rest to the bottom of your deck in any order.	Blue	/cr90
Trainer Echo	Vol1-1	1-010.png	4	3	2		Force	Character/Newman	On Play: Choose one: (1) Put one card from your hand to the bottom of your deck. Choose a <Technique> card from your Trash and add it to your hand. (2) Choose a character from your back and move it to the front row.	Yellow	/cr90
The Hatred Fighter Gettemhart	Vol1-1	1-011.png	7	7	6		Fighter	Character/Human	[Penetration 3] (When this character attack destroys an opponent’s character, deal 3 damage to your opponent’s Player). On Play: Destroy all of your opponent’s <Weapon> and <Armor>. Choose one “Melphonsina” from your Trash and put it into your field.	Red	/cr90
Information Broker Twin Patty	Vol1-1	1-012.png	5	4	3		Hunter	Character/Newman	On Play: If you do not have “Tea” on your field you may put one “Tea” from your hand onto the field or search your deck for up to 1 “Tea” and add it to your hand. At the end of your turn: Reveal the top card of your deck, if that card’s cost is 3 PP or less, choose 1 of your opponent’s characters and deal 3 damage to it. This card gets +1/+1 while you control a “Tea”.	Red	/cr90
Information Broker Twin Tea	Vol1-1	1-013.png	5	3	4		Force	Character/Newman	On Play: If you do not have “Patty” on your field you may put one “Patty” from your hand or search your deck for up to 1 “Patty” and add it to your hand. On Play: Look at 3 cards from the top of your deck, choose any number of them and put them on the top of your deck in any order and put the rest on the bottom of your deck. This card gets +1/+1 while you control a “Patty”.	Yellow	/cr90
Naive ARKS Gene	Vol1-1	1-014.png	3	2	5		Fighter	Character/Human	[Consecutive Attack]: When this card attacks the enemy player, change it to ON. (Only once per turn). While this card is ON, all of your character’s <Weapon> cannot be destroyed. While in the back row: This character gets +1 ATK while attacking.	Red	/cr90
Battling Leader Ohza	Vol1-1	1-015.png	4	4	3		Hunter	Character/Human	Other Hunter characters you control get +1 ATK. When another <Hunter> character comes into your play: During this turn, this character gets +1 ATK	Red	/cr90
Patty	Vol1-1	1-016.png	4	3	4		Hunter	Character/Newman	On Play: Choose 1 OFF character and deal 2 damage to it.	Red	/cr90
Zeno	Vol1-1	1-017.png	3	4	2		Hunter	Character/Human	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): If you have no characters on your field, the next damage you will take will be 0.	Red	/cr90
Ohza	Vol1-1	1-018.png	3	2	4		Hunter	Character/Human	[War Cry] ON -> OFF: When one of your characters is attacked, change the attack target to this character instead. At the end of the turn this character was played: Change it to ON.	Red	/cr90
Lacuna	Vol1-1	1-019.png	2	3	1		Hunter	Character/Human	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): Choose one of your opponent’s characters and change it to OFF.	Red	/cr90
Sherry	Vol1-1	1-020.png	5	4	5		Hunter	Character/CAST	On Play: Choose up to 1 <Armor> card and destroy it.	Red	/cr90
Burrows	Vol1-1	1-021.png	2	2	3		Hunter	Character/Human		Red	/cr90
Isaac	Vol1-1	1-022.png	5	4	5		Hunter	Character/CAST	If it is your first turn as 2nd player, the cost of playing this character turns into 0. [War Cry] ON -> OFF: When a one of your characters is attacked, change the attack target to this character instead. At the end of the turn this character was played: Change it to ON.	Red	/cr90
Ellen	Vol1-1	1-023.png	1	1	2		Hunter	Character/Human	On Play: Choose one of your opponent’s OFF character and deal 1 damage to it.	Red	/cr90
Ace Marksman Lisa	Vol1-1	1-024.png	4	4	4		Ranger	Character/CAST	Main - Pay 2 PP: Choose one of your opponent’s characters and deal 2 damage. When another <Ranger> comes into your play: Deal 1 damage to your opponent’s Player.	Blue	/cr90
Lisa	Vol1-1	1-025.png	6	5	2		Ranger	Character/CAST	[Raid] (When this character is played, it will be played as ON).	Blue	
Afin	Vol1-1	1-026.png	2	3	2		Ranger	Character/Newman	On Play: All players draw 1 card.	Blue	/cr90
Helen	Vol1-1	1-027.png	3	4	2		Ranger	Character/Newman	[Sniper] (This character will not receive combat damage when it attacks).	Blue	/cr90
Jean	Vol1-1	1-028.png	5	6	3		Ranger	Character/Human	[Sniper] (This character will not receive combat damage when it attacks). When this character is destroyed: Your opponent discards a card from their hand.	Blue	/cr90
Sandor	Vol1-1	1-029.png	1	2	2		Ranger	Character/Human		Blue	/cr90
Clark	Vol1-1	1-030.png	2	3	2		Ranger	Character/CAST		Blue	/cr90
Avisor	Vol1-1	1-031.png	4	4	5		Ranger	Character/CAST		Blue	/cr90
Niels	Vol1-1	1-032.png	2	2	1		Ranger	Character/Human	[Raid] (When this character is played, it will be played as ON).	Blue	
Technique Leader Marlu	Vol1-1	1-033.png	4	3	4		Force	Character/Newman	All of your other <Force> characters gain +1 HP. When another <Force> comes into your play: During this turn, this character gets +1 HP	Yellow	/cr90
Marlu	Vol1-1	1-034.png	5	4	5		Force	Character/Newman	On Play: Deal 2 damage to all of your opponent’s characters in the front row.	Yellow	/cr90
Echo	Vol1-1	1-035.png	4	4	3		Force	Character/Newman	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): Choose up to 1 “Zeno” from your Trash and add it to your hand.	Yellow	/cr90
Tea	Vol1-1	1-036.png	1	1	1		Force	Character/Newman	On Play: You may pay 2 PP, if you do, at the beginning of your next turn, choose 1 of your opponent’s characters and freeze it (Cannot attack).	Yellow	/cr90
Adelie	Vol1-1	1-037.png	3	4	3		Force	Character/CAST		Yellow	/cr90
Makoto	Vol1-1	1-038.png	2	2	1		Force	Character/Human	On Play: Choose up to one <Weapon> card and destroy it.	Yellow	/cr90
Rudith	Vol1-1	1-039.png	5	6	5		Force	Character/Newman		Yellow	/cr90
Shiro	Vol1-1	1-040.png	4	4	4		Force	Character/Human	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): Choose one of your opponent’s character and freeze it. (Cannot attack).	Yellow	/cr90
Steel Mentor Josef	Vol1-1	1-041.png	7	6	6		Fighter	Character/Human	[Consecutive Attack] (When this character attacks your opponent’s Player: Once per turn, turn this card ON). ON -> OFF: Choose up to 1 Item and destroy it.	Red	/cr90
Gettemhart	Vol1-1	1-042.png	9	8	4		Fighter	Character/Human	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may discard one card from your hand. If you do,  choose one of your opponent’s character with cost 4 PP or lower and destroy it.	Red	/cr90
Garth	Vol1-1	1-043.png	5	5	3		Fighter	Character/Newman	[Consecutive Attack] (When this character attacks your opponent’s Player: Once per turn, turn this card ON).	Red	/cr90
Gene	Vol1-1	1-044.png	4	5	3		Fighter	Character/Human	This card cannot be chosen by the effects of your opponent’s cards.	Red	/cr90
Josef	Vol1-1	1-045.png	8	9	8		Fighter	Character/Human		Red	/cr90
Crimson Shooter Klotho	Vol1-1	1-046.png	7	7	7		Gunner	Character/Human	Main - Pay 7 PP: Draw up to 7 cards, choose one of your opponent’s characters and deal 7 damage to it.	Blue	/cr90
Berg	Vol1-1	1-047.png	1	1	1		Gunner	Character/CAST	[Continuous Shooting] (This card can choose up to two attack targets. Battle is done at the same time).	Blue	/cr90
Rukiaas	Vol1-1	1-048.png	2	2	1		Gunner	Character/Human	On Play: Choose up to one of your opponent’s Active and destroy it.	Blue	/cr90
Klotho	Vol1-1	1-049.png	5	4	3		Gunner	Character/Human	On Play: You may draw a card. [Continuous Shooting] (This card can choose up to two attack targets. Battle is done at the same time)	Blue	/cr90
Skilled Teacher Barbara	Vol1-1	1-050.png	6	6	6		Techer	Character/CAST	All of your other characters get +1/+1.	Yellow	/cr90
Faithful Follower Melphonsina	Vol1-1	1-051.png	3	2	4		Techer	Character/Newman	On Play: Choose a “Gettemhart” from your Trash, return it to your deck and shuffle it. Your “Gettemhart” cannot be chosen by your opponent’s effect while this character is on your field. This character cannot be attack while your “Gettemhart” is on your field.	Yellow	/cr90
