Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
PLAYER(1)	Vol1-2	2-001.png			52		Fighter	Player/Human	Going First / Second. [Consecutive Attack]: When this card attacks the opponent’s player, change it to ON. (Only once per turn). Main - Pay 6 / 5 PP - This card gains +3 ATK until end of turn, can only be activated once per game.	Red	
PLAYER(2)	Vol1-2	2-002.png			52		Fighter	Player/CAST	Going First / Second. Pay 3 / 2 PP - Choose one of your opponent’s characters and deal 2 damage to it. If the character chosen is destroyed by this effect, choose one of opponent’s players and deal 1 damage to it. This ability can only be activated once per turn.	Red	
PLAYER(3)	Vol1-2	2-003.png			50		Gunner	Player/Human	Going First / Second. Main - Pay 2 / 1 PP - Put X cards from the top of your deck into Trash. Choose one of your opponent’s characters and deal 1 damage to it X times. This can only be activated once per game.	Blue	
PLAYER(4)	Vol1-2	2-004.png			50		Gunner	Player/Newman	Going First / Second. [Continuous Shooting]: This card can choose up to two attack targets. Battle is done at the same time. Main - Pay 2 / 1 PP - This player gains +1 ATK. This ability can only be actiavated once per turn.	Blue	
PLAYER(5)	Vol1-2	2-005.png			48		Techer	Player/CAST	Front Going First. Main Pay 1 PP - Choose one of your characters and they get +1/+1 until end of turn. This ability can only be activated once per turn. Back Going Second. Main Pay 1 PP - Choose one of your characters and they get +1/+1 until end of turn. If you have 5 or more PP in your PP area, choose one of your PP and turn it ON. This ability can only be activated once per turn.	Yellow	
PLAYER(6)	Vol1-2	2-006.png			48		Techer	Player/Human	Going First / Second. Pay 8 / 7 PP - Choose a card with PP cost equal or less than your total PP from your Trash, and put it onto the field. This can only be activated once per game.	Yellow	
Valuable Encounter Fourier	Vol1-2	2-007.png	5	4	5		Ranger	Character/CAST	On Play: You may put a card with <Lillipa> in its card name from your hand, deck, and Trash onto your field. Shuffle your deck. This character gets +1/+1 for every 2 characters with <Lillipa> in its card name.	Blue	/cr90
Researcher Aki	Vol1-2	2-008.png	4	3	5		Ranger	Character/Human/Researcher	On Play: Search your deck for a card with PP cost 4 or less <Dragon> type card and add it to your hand. All of your  <Dragon> characters lose [Erosion]. This character cannot be damaged by your other characters.	Blue	/cr90
Shipboard Diva Quna	Vol1-2	2-009.png	4	0	5			Character/Human/Idol	On Play: All of your characters get +1/+1 until end of turn. ON -> OFF - Choose one of your opponent’s characters and they get -1/-1 until end of turn. At the start of your turn: Move all of your characters in the back row to the front row. This character cannot attack.	White	/cr90
Hi Loga	Vol1-2	2-010.png	9	10	10			Character/Dragon	[Erosion] (This character can only attack the opponent’s player). All of your other <Dragon> that are not “Hi Loga” gain +1/+1. On Play: Move all characters in the front row of the field to the back and deal them 4 damage. At the end of your turn: If this card has [Erosion], deal 2 damage to  your player.	White	/cr90
Manifestation of Justice	Vol1-2	2-011.png	7	6	7		Hunter	Character/Human/Council of Six	On Play: If you have less than 2 cards in your hand, choose up to 2 <Armor> cards from your Trash and equip them onto your player. If you have no other characters on your field, choose up to 2 of your opponent’s characters and deal 4 damage to them.	Red	/cr90
Observer Casra	Vol1-2	2-012.png	7	5	7		Techer	Character/Newman/Council of Six	On Play: Discard up to 3 different character class cards from your hand. The following effects are activated based on the discarded class card. <Hunter> - Choose one of your opponent’s character, turn it OFF and they do not turn ON during the start of your opponent’s next turn. <Ranger> - Set this card to ON. <Force> - Deal 2 damage to all of your opponent’s characters.	Yellow	/cr90
Instructor Jean	Vol1-2	2-013.png	4	3	2		Ranger	Character/Human	On Play: Choose one: (1)Your Player gets +3 ATK during this turn, but cannot attack the opponent’s Player. (2)Choose up to 2 of your opponent’s actives and destroy it.	Blue	/cr90
