Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
PLAYER	Vol2-1	4-001.png			52		Braver	Player / Dewman	Going First / Second. [Main] 5 / 4 PP: Turn all your PP's to [ON], and grant 1 "Katana Combat" to this player from your Trash. This ability can only be activated once per game.	Red	
Lyra	Vol2-1	4-002.png,4-002_b.png	3					Mag / Evolution Lv1	[Mag Evolution] By paying the cost of this card, put this card behind your Mag into play. Your mag gains the following additional abilities: At the end of your turn, ON -> OFF, 1PP: Put a card from your Trash to the bottom of your deck. At the begining of your turn, ON -> OFF, 1PP: Choose one of your opponent’s character’s and deal 1 damage to it.	Red	/ch
Lepus	Vol2-1	4-003.png,4-003_b.png	3					Mag / Evolution Lv1	[Mag Evolution] By paying the cost of this card, put this card behind your Mag into play. Your mag gains the following additional abilities: At the end of your turn, ON -> OFF, 1PP: Turn 2 of your PP to ON. At the begining of your turn, ON -> OFF, 1PP: Choose one of your opponent’s character’s and deal 1 damage to it.	Yellow	/ch
Inheriting Will, Echo	Vol2-1	4-004.png	5	4	4		Hunter	Character / Newman	On Play: Choose up to 1 <Weapon> or <Armor> with cost 4 or less from your Trash and equip it to this character. While this character has an equipped item, this character gets +1/+1 for each equipped item.	Red	/cr90
Seeking Power, Theodore	Vol2-1	4-005.png	6	5	6		Force	Character / Newman	On Play: Choose 1 of your opponent’s characters and deal X damage to it. X is equal to the number of white cards in your Trash. “Ulk” is counted as 2 for this effect. When this card is destroyed: You may choose 1 of your characters and remove it, if you do, choose 1 of your opponent’s characters and remove it.	Yellow	/cr90
Void Institutions General, Luther	Vol2-1	4-006.png	7	4	8			Character / Newman / Photoner	At the beginning of your turn: Choose up to 1 of your removed cards with cost less than or equal to the number of your total PP and removed opponent’s cards and put it into play. At the end of your turn: You may choose up to 3 cards in your opponent’s Trash and remove them. Then, if they have no cards in their Trash, choose up 1 of your opponent’s characters and remove it.	White	/cr90
Founder of Braver, Azanami	Vol2-1	4-007.png	6	4	6		Braver	Character / Human	On Play: Turn ON your PP equal to the same number of your other <Braver> characters. When this character attacks your opponent: Choose 1 of your PP and turn it ON.	Red	/cr90
Dewmans Girl Io	Vol2-1	4-008.png	4	4	3		Braver	Character / Dewman	On Play: Discard a card. Choose up to 1 active <Braver> card from your Trash and add it to your hand. When this character is chosen as an attack target by your opponent: During this turn, reduce the cost of the next active card by 1PP.	Blue	/cr90
Xiao's Relatives, Sara	Vol2-1	4-009.png	5	4	4		Hunter	Character / Human	On Play: You may choose up to 3 cards from your Trash and remove them. When this character or another ally character is destroyed: Choose 1 of your opponent’s active and remove it. This character gets +1/+1 for every 3 removed cards.	Red	/cr90
Xion's Younger Brother, Xiao	Vol2-1	4-010.png	3	0	6			Character	On Play / ON -> OFF: You may remove 1 card from your hand and your Trash, if you do, draw a card. When this character or another ally character is destroyed: Choose 1 of your opponent’s active and remove it. If you and your opponent has 10 or more removed cards, all of your other characters get +1/+1.	White	/cr90
Council of Six [Two], Maria	Vol2-1	4-011.png	10	6	10		Hunter	Character / CAST / Council of Six	On Play: You may equip this character with a “Labrys” from your hand or Trash. If equipped, Turn this character to ON. During this turn, this character cannot attack the opponent’s Player. While this character is equipped with a weapon, this character cannot be chosen by your opponent’s card effects. All of your other characters get +2/+2.	Red	/cr90
Following Footsteps, Echo	Vol2-1	4-012.png	2	2	3		Hunter	Character / Newman	On Play: Reveal the top card of your deck, if it’s a white card, put it into your hand, if it’s any other card, return it to the bottom of your deck.	Red	/cr90
Darker Burier, Theodore	Vol2-1	4-013.png	1	2	3		Force	Character / Newman	On Play: Remove 3 cards from the top of your deck.	Yellow	/cr90
